date,close
2021-04-13,232.1
2021-04-14,236.9
2021-04-15,237.7
2021-04-16,229.9
2021-04-19,234.9
2021-04-20,233.2
2021-04-21,235.6
2021-04-22,237.1
2021-04-23,236.9
2021-04-26,238.8
2021-04-27,239.9
2021-04-28,244.9
2021-04-30,257.9
2021-05-06,255.5
2021-05-07,257.0
2021-05-10,252.2
2021-05-11,253.0
2021-05-12,252.0
2021-05-13,242.0
2021-05-14,246.2
2021-05-17,247.8
2021-05-18,245.4
2021-05-19,247.4
2021-05-20,251.3
2021-05-21,252.2
2021-05-24,251.3
2021-05-25,255.2
2021-05-26,255.4
2021-05-27,254.3
2021-05-28,245.7
2021-05-31,240.0
2021-06-01,237.6
2021-06-02,241.1
2021-06-03,243.2
2021-06-04,240.0
2021-06-07,238.1
2021-06-08,241.7
2021-06-09,239.4
2021-06-10,238.0
2021-06-11,238.9
2021-06-14,237.0
2021-06-15,235.2
2021-06-16,235.5
2021-06-17,234.5
2021-06-18,232.4
2021-06-21,231.7
2021-06-22,234.1
2021-06-23,237.5
2021-06-24,239.9
2021-06-25,237.3
2021-06-28,232.0
2021-06-29,226.3
2021-06-30,220.0
2021-07-01,218.2
2021-07-02,221.4
2021-07-05,223.7
2021-07-06,220.9
2021-07-07,217.0
2021-07-08,216.4
2021-07-09,216.0
2021-07-12,213.8
2021-07-13,209.5
2021-07-14,213.9
2021-07-15,214.9
2021-07-16,214.1
2021-07-19,206.7
2021-07-20,209.9
2021-07-21,214.5
2021-07-26,216.3
2021-07-27,213.8
2021-07-28,215.8
2021-07-29,219.3
2021-07-30,217.6
2021-08-02,216.0
2021-08-03,217.7
2021-08-04,217.0
2021-08-05,219.9
2021-08-06,222.2
2021-08-10,222.3
2021-08-11,220.6
2021-08-12,222.6
2021-08-13,220.9
2021-08-16,224.0
2021-08-17,228.3
2021-08-18,224.8
2021-08-19,215.5
2021-08-20,216.1
2021-08-23,217.8
2021-08-24,217.3
2021-08-25,214.0
2021-08-26,206.5
2021-08-27,206.2
2021-08-30,206.9
2021-08-31,208.6
2021-09-01,207.5
2021-09-02,212.0
2021-09-03,211.0
2021-09-06,207.5
2021-09-07,199.3
2021-09-08,199.6
2021-09-09,202.2
2021-09-10,201.3
2021-09-13,203.9
2021-09-14,204.9
2021-09-15,202.4
2021-09-16,204.0
2021-09-17,194.5
2021-09-21,196.7
2021-09-22,201.0
2021-09-24,206.7
2021-09-27,208.9
2021-09-28,207.6
2021-09-29,211.8
2021-09-30,210.7
2021-10-01,207.8
2021-10-04,211.0
2021-10-05,214.5
2021-10-06,214.1
2021-10-07,221.0
2021-10-08,226.8
2021-10-11,227.2
2021-10-12,225.3
2021-10-13,224.0
2021-10-14,226.5
2021-10-15,224.0
2021-10-18,233.1
2021-10-19,233.5
2021-10-20,238.5
2021-10-21,230.9
2021-10-22,226.0
2021-10-25,233.1
